"","route","count"
"496","110026->110034",1
"497","110026->110040",53
"498","110026->110045",6
"499","110026->110050",1
"500","110026->110060",5
"501","110026->110070",1
"502","110026->110092",2
"503","110026->110094",283
"504","110026->110100",1
"505","110026->110110",1
"506","110026->110120",2
"507","110026->110130",2
"508","110026->110140",22
"509","110026->110143",1
"510","110026->110149",1
"511","110026->110160",17
"512","110026->110170",2
"513","110026->110175",2
"514","110026->110180",6
"515","110028->110001",2
"516","110028->110002",2
"517","110028->110003",1
"518","110028->110004",16
"519","110028->110008",2
"520","110028->110010",1
"521","110028->110011",1
"522","110028->110012",3
"523","110028->110015",1
"524","110028->110018",3
"525","110028->110020",57
"526","110028->110025",2
"527","110028->110030",3
"528","110028->110032",1
"529","110028->110033",1
"530","110028->110034",1
"531","110028->110037",1
"532","110028->110040",1
"533","110028->110045",1
"534","110028->110080",1
"535","110028->110092",2
"536","110028->110150",2
"537","110029->110001",2
"538","110029->110020",5
"539","110029->110028",3
"540","110029->110037",1
"541","110029->110145",1
"542","110029->110170",1
"543","110030->110001",1
"544","110030->110002",3
"545","110030->110003",3
"546","110030->110004",19
"547","110030->110005",5
"548","110030->110006",7
"549","110030->110007",1
"550","110030->110008",1
"551","110030->110009",2
"552","110030->110010",2
"553","110030->110011",1
"554","110030->110012",3
"555","110030->110013",1
"556","110030->110014",1
"557","110030->110015",1
"558","110030->110018",1
"559","110030->110020",75
"560","110030->110025",1
"561","110030->110028",3
"562","110030->110032",1
"563","110030->110033",1
"564","110030->110045",2
"565","110030->110070",1
"566","110030->110080",2
"567","110030->110110",3
"568","110030->110149",1
"569","110032->110001",3
"570","110032->110002",3
"571","110032->110004",9
"572","110032->110006",7
"573","110032->110008",1
"574","110032->110011",4
"575","110032->110012",26
"576","110032->110014",192
"577","110032->110015",2
"578","110032->110018",5
"579","110032->110020",17
"580","110032->110025",3
"581","110032->110028",13
"582","110032->110030",4
"583","110032->110034",33
"584","110032->110045",1
"585","110032->110050",5
"586","110032->110060",1
"587","110032->110110",1
"588","110032->110120",2
"589","110032->110130",6
"590","110032->110149",14
"591","110032->110150",44
"592","110032->110170",3
"593","110033->110001",5
"594","110033->110002",153
"595","110033->110004",122
"596","110033->110005",6
"597","110033->110006",2
"598","110033->110007",3
"599","110033->110008",2
"600","110033->110009",55
"601","110033->110010",1895
"602","110033->110011",254
"603","110033->110012",253
"604","110033->110013",5
"605","110033->110014",4
"606","110033->110015",78
"607","110033->110018",12
"608","110033->110020",438
"609","110033->110025",172
"610","110033->110026",2
"611","110033->110028",31
"612","110033->110029",2
"613","110033->110030",20
"614","110033->110032",13
"615","110033->110034",39
"616","110033->110037",2
"617","110033->110040",3
"618","110033->110045",8090
"619","110033->110050",63
"620","110033->110060",3
"621","110033->110070",2383
"622","110033->110080",9
"623","110033->110090",8
"624","110033->110092",2
"625","110033->110094",3
"626","110033->110100",26
"627","110033->110110",2
"628","110033->110120",7
"629","110033->110130",61
"630","110033->110140",202
"631","110033->110143",22
"632","110033->110148",7
"633","110033->110149",9
"634","110033->110155",15
"635","110033->110160",8
"636","110033->110170",23
"637","110033->110175",6
"638","110033->110180",20
"639","110034->110002",3
"640","110034->110004",9
"641","110034->110008",1
"642","110034->110009",1
"643","110034->110011",5
"644","110034->110012",66
"645","110034->110015",8
"646","110034->110020",17
"647","110034->110025",150
"648","110034->110028",1
"649","110034->110030",2
"650","110034->110032",1
"651","110034->110037",1
"652","110034->110045",1
"653","110034->110070",4
"654","110034->110090",1
"655","110034->110094",1
"656","110034->110130",147
"657","110034->110140",1
"658","110034->110143",5
"659","110034->110149",1
"660","110034->110150",1
"661","110034->110155",8
"662","110034->110170",123
"663","110034->110180",1
"664","110037->110001",22
"665","110037->110002",1
"666","110037->110004",5
"667","110037->110009",3
"668","110037->110011",2
"669","110037->110012",3
"670","110037->110015",1
"671","110037->110020",2
"672","110037->110028",43
"673","110037->110029",2
"674","110037->110032",1
"675","110037->110094",1
"676","110037->110130",2
"677","110037->110140",1
"678","110037->110145",23
"679","110037->110148",1
"680","110037->110150",1
"681","110037->110170",1
"682","110040->110001",6
"683","110040->110002",3537
"684","110040->110004",24
"685","110040->110005",20
"686","110040->110009",1
"687","110040->110010",1
"688","110040->110011",162
"689","110040->110012",96
"690","110040->110013",24
"691","110040->110015",122
"692","110040->110018",1
"693","110040->110020",196
"694","110040->110025",36
"695","110040->110026",244
"696","110040->110028",11
"697","110040->110029",1
"698","110040->110030",10
"699","110040->110034",6
"700","110040->110037",1
"701","110040->110045",526
"702","110040->110050",1
"703","110040->110060",16
"704","110040->110070",3
"705","110040->110080",494
"706","110040->110092",3
"707","110040->110094",32
"708","110040->110100",8
"709","110040->110110",124
"710","110040->110130",37
"711","110040->110140",40
"712","110040->110143",38
"713","110040->110150",4
"714","110040->110155",3
"715","110040->110160",6
"716","110040->110170",9
"717","110040->110175",6
"718","110040->110180",18
"719","110045->110001",41
"720","110045->110002",399
"721","110045->110003",24
"722","110045->110004",226
"723","110045->110005",101
"724","110045->110006",45
"725","110045->110007",19
"726","110045->110008",2
"727","110045->110009",113
"728","110045->110010",10
"729","110045->110011",302
"730","110045->110012",276
"731","110045->110013",20
"732","110045->110014",127
"733","110045->110015",149
"734","110045->110018",60
"735","110045->110020",236
"736","110045->110025",119
"737","110045->110026",3
"738","110045->110028",120
"739","110045->110029",13
"740","110045->110030",97
"741","110045->110032",40
"742","110045->110033",19
"743","110045->110034",74
"744","110045->110037",18
