"","route","count"
"586","110010->431410",1
"587","110010->432110",1
"588","110010->500270",2
"589","110010->500370",1
"590","110010->510140",1
"591","110010->510250",1
"592","110010->510330",1
"593","110010->510340",14
"594","110010->510675",3
"595","110010->510760",2
"596","110010->510787",1
"597","110010->520870",4
"598","110010->530010",1
"599","110011->120040",1
"600","110011->120050",1
"601","110011->130014",6
"602","110011->130170",3
"603","110011->130260",1
"604","110011->130330",5
"605","110011->140047",1
"606","110011->150795",1
"607","110011->210530",1
"608","110011->210540",3
"609","110011->250750",1
"610","110011->261160",1
"611","110011->290390",1
"612","110011->310620",5
"613","110011->311940",1
"614","110011->312230",1
"615","110011->313130",1
"616","110011->313920",1
"617","110011->314400",1
"618","110011->315430",1
"619","110011->317010",1
"620","110011->317020",1
"621","110011->320080",1
"622","110011->320150",1
"623","110011->320190",1
"624","110011->320320",1
"625","110011->320330",1
"626","110011->320350",1
"627","110011->320360",1
"628","110011->320390",4
"629","110011->320490",23
"630","110011->320520",2
"631","110011->320530",3
"632","110011->330240",1
"633","110011->350055",1
"634","110011->354340",1
"635","110011->354550",1
"636","110011->354980",1
"637","110011->355030",5
"638","110011->410420",1
"639","110011->410480",3
"640","110011->410830",1
"641","110011->410880",1
"642","110011->411330",1
"643","110011->411730",1
"644","110011->500270",1
"645","110011->500370",1
"646","110011->510190",2
"647","110011->510263",1
"648","110011->510267",1
"649","110011->510325",6
"650","110011->510340",4
"651","110011->510517",1
"652","110011->510562",1
"653","110011->510675",1
"654","110011->510760",1
"655","110011->510790",1
"656","110011->520870",3
"657","110011->521220",1
"658","110011->521308",1
"659","110011->530010",2
"660","110012->120010",5
"661","110012->120017",1
"662","110012->120040",6
"663","110012->120045",2
"664","110012->120050",7
"665","110012->130014",7
"666","110012->130170",3
"667","110012->130260",12
"668","110012->130270",1
"669","110012->140023",1
"670","110012->150050",1
"671","110012->150060",1
"672","110012->150085",2
"673","110012->150130",1
"674","110012->150140",4
"675","110012->150210",1
"676","110012->150270",1
"677","110012->150293",2
"678","110012->150430",1
"679","110012->150470",1
"680","110012->150680",4
"681","110012->150795",2
"682","110012->171320",1
"683","110012->171610",1
"684","110012->171855",1
"685","110012->210005",1
"686","110012->210090",1
"687","110012->210100",1
"688","110012->210300",2
"689","110012->210440",6
"690","110012->210530",1
"691","110012->210745",2
"692","110012->210820",2
"693","110012->210860",1
"694","110012->210910",1
"695","110012->210927",4
"696","110012->211020",1
"697","110012->211120",1
"698","110012->211130",3
"699","110012->220850",1
"700","110012->230440",3
"701","110012->230610",1
"702","110012->250400",1
"703","110012->250750",3
"704","110012->260790",1
"705","110012->261160",1
"706","110012->270430",1
"707","110012->280030",5
"708","110012->290520",1
"709","110012->310400",2
"710","110012->310620",13
"711","110012->312230",2
"712","110012->312770",2
"713","110012->313880",1
"714","110012->315210",1
"715","110012->317010",1
"716","110012->317020",4
"717","110012->320120",1
"718","110012->320320",3
"719","110012->320490",6
"720","110012->320500",4
"721","110012->320501",1
"722","110012->330240",5
"723","110012->330580",1
"724","110012->330600",1
"725","110012->350210",1
"726","110012->350330",1
"727","110012->350950",4
"728","110012->352900",2
"729","110012->353740",1
"730","110012->354140",2
"731","110012->354340",2
"732","110012->354980",1
"733","110012->354990",2
"734","110012->355030",15
"735","110012->355220",3
"736","110012->410140",1
"737","110012->410250",1
"738","110012->410430",1
"739","110012->410480",5
"740","110012->410590",1
"741","110012->410690",5
"742","110012->410830",3
"743","110012->410940",2
"744","110012->411095",1
"745","110012->411370",2
"746","110012->411520",4
"747","110012->411725",1
"748","110012->411810",1
"749","110012->411840",1
"750","110012->411900",1
"751","110012->412070",1
"752","110012->412550",1
"753","110012->412570",1
"754","110012->412870",1
"755","110012->420080",1
"756","110012->420320",1
"757","110012->421290",1
"758","110012->431230",1
"759","110012->500270",9
"760","110012->500295",1
"761","110012->500370",2
"762","110012->500793",1
"763","110012->510020",1
"764","110012->510025",4
"765","110012->510125",1
"766","110012->510190",5
"767","110012->510250",1
"768","110012->510263",4
"769","110012->510268",1
"770","110012->510285",1
"771","110012->510325",6
"772","110012->510330",4
"773","110012->510337",1
"774","110012->510340",4
"775","110012->510480",3
"776","110012->510515",1
"777","110012->510517",2
"778","110012->510520",2
"779","110012->510525",1
"780","110012->510550",4
"781","110012->510622",1
"782","110012->510642",1
"783","110012->510675",9
"784","110012->510704",3
"785","110012->510757",1
"786","110012->510760",7
"787","110012->510787",2
"788","110012->510790",1
"789","110012->510792",4
"790","110012->510795",3
"791","110012->510805",2
"792","110012->520870",2
"793","110012->521308",1
"794","110012->521405",1
"795","110012->522160",1
"796","110012->522185",1
"797","110012->530010",3
"798","110013->120010",4
