"","route","count"
"890","110011->250750",1
"891","110011->261160",1
"892","110011->290390",1
"893","110011->310620",5
"894","110011->311940",1
"895","110011->312230",1
"896","110011->313130",1
"897","110011->313920",1
"898","110011->314400",1
"899","110011->315430",1
"900","110011->317010",1
"901","110011->317020",1
"902","110011->320080",1
"903","110011->320150",1
"904","110011->320190",1
"905","110011->320320",1
"906","110011->320330",1
"907","110011->320350",1
"908","110011->320360",1
"909","110011->320390",4
"910","110011->320490",23
"911","110011->320520",2
"912","110011->320530",3
"913","110011->330240",1
"914","110011->350055",1
"915","110011->354340",1
"916","110011->354550",1
"917","110011->354980",1
"918","110011->355030",5
"919","110011->410420",1
"920","110011->410480",3
"921","110011->410830",1
"922","110011->410880",1
"923","110011->411330",1
"924","110011->411730",1
"925","110011->500270",1
"926","110011->500370",1
"927","110011->510190",2
"928","110011->510263",1
"929","110011->510267",1
"930","110011->510325",6
"931","110011->510340",4
"932","110011->510517",1
"933","110011->510562",1
"934","110011->510675",1
"935","110011->510760",1
"936","110011->510790",1
"937","110011->520870",3
"938","110011->521220",1
"939","110011->521308",1
"940","110011->530010",2
"941","110012->110001",2
"942","110012->110002",22
"943","110012->110004",4
"944","110012->110008",3
"945","110012->110009",6
"946","110012->110010",2
"947","110012->110011",7
"948","110012->110013",12
"949","110012->110014",1
"950","110012->110015",51
"951","110012->110018",17
"952","110012->110020",120
"953","110012->110025",9
"954","110012->110030",7
"955","110012->110033",3
"956","110012->110034",1
"957","110012->110040",3
"958","110012->110045",1
"959","110012->110080",2
"960","110012->110090",1
"961","110012->110094",4
"962","110012->110110",7
"963","110012->110120",1
"964","110012->110140",1
"965","110012->110143",5
"966","110012->110145",3
"967","110012->110148",1
"968","110012->110149",3
"969","110012->110150",1
"970","110012->110155",1
"971","110012->110160",1
"972","110012->110170",1
"973","110012->110180",214
"974","110012->120010",5
"975","110012->120017",1
"976","110012->120040",6
"977","110012->120045",2
"978","110012->120050",7
"979","110012->130014",7
"980","110012->130170",3
"981","110012->130260",12
"982","110012->130270",1
"983","110012->140023",1
"984","110012->150050",1
"985","110012->150060",1
"986","110012->150085",2
"987","110012->150130",1
"988","110012->150140",4
"989","110012->150210",1
"990","110012->150270",1
"991","110012->150293",2
"992","110012->150430",1
"993","110012->150470",1
"994","110012->150680",4
"995","110012->150795",2
"996","110012->171320",1
"997","110012->171610",1
"998","110012->171855",1
"999","110012->210005",1
"1000","110012->210090",1
"1001","110012->210100",1
"1002","110012->210300",2
"1003","110012->210440",6
"1004","110012->210530",1
"1005","110012->210745",2
"1006","110012->210820",2
"1007","110012->210860",1
"1008","110012->210910",1
"1009","110012->210927",4
"1010","110012->211020",1
"1011","110012->211120",1
"1012","110012->211130",3
"1013","110012->220850",1
"1014","110012->230440",3
"1015","110012->230610",1
"1016","110012->250400",1
"1017","110012->250750",3
"1018","110012->260790",1
"1019","110012->261160",1
"1020","110012->270430",1
"1021","110012->280030",5
"1022","110012->290520",1
"1023","110012->310400",2
"1024","110012->310620",13
"1025","110012->312230",2
"1026","110012->312770",2
"1027","110012->313880",1
"1028","110012->315210",1
"1029","110012->317010",1
"1030","110012->317020",4
"1031","110012->320120",1
"1032","110012->320320",3
"1033","110012->320490",6
"1034","110012->320500",4
"1035","110012->320501",1
"1036","110012->330240",5
"1037","110012->330580",1
"1038","110012->330600",1
"1039","110012->350210",1
"1040","110012->350330",1
"1041","110012->350950",4
"1042","110012->352900",2
"1043","110012->353740",1
"1044","110012->354140",2
"1045","110012->354340",2
"1046","110012->354980",1
"1047","110012->354990",2
"1048","110012->355030",15
"1049","110012->355220",3
"1050","110012->410140",1
"1051","110012->410250",1
"1052","110012->410430",1
"1053","110012->410480",5
"1054","110012->410590",1
"1055","110012->410690",5
"1056","110012->410830",3
"1057","110012->410940",2
"1058","110012->411095",1
"1059","110012->411370",2
"1060","110012->411520",4
"1061","110012->411725",1
"1062","110012->411810",1
"1063","110012->411840",1
"1064","110012->411900",1
"1065","110012->412070",1
"1066","110012->412550",1
"1067","110012->412570",1
"1068","110012->412870",1
"1069","110012->420080",1
"1070","110012->420320",1
"1071","110012->421290",1
"1072","110012->431230",1
"1073","110012->500270",9
"1074","110012->500295",1
"1075","110012->500370",2
"1076","110012->500793",1
"1077","110012->510020",1
"1078","110012->510025",4
"1079","110012->510125",1
"1080","110012->510190",5
"1081","110012->510250",1
"1082","110012->510263",4
"1083","110012->510268",1
"1084","110012->510285",1
"1085","110012->510325",6
"1086","110012->510330",4
"1087","110012->510337",1
"1088","110012->510340",4
"1089","110012->510480",3
"1090","110012->510515",1
"1091","110012->510517",2
"1092","110012->510520",2
"1093","110012->510525",1
"1094","110012->510550",4
"1095","110012->510622",1
"1096","110012->510642",1
"1097","110012->510675",9
"1098","110012->510704",3
"1099","110012->510757",1
"1100","110012->510760",7
"1101","110012->510787",2
"1102","110012->510790",1
"1103","110012->510792",4
"1104","110012->510795",3
"1105","110012->510805",2
"1106","110012->520870",2
"1107","110012->521308",1
"1108","110012->521405",1
"1109","110012->522160",1
"1110","110012->522185",1
"1111","110012->530010",3
"1112","110013->110001",11
"1113","110013->110002",1283
"1114","110013->110004",144
"1115","110013->110005",24
"1116","110013->110006",17
"1117","110013->110007",7
"1118","110013->110008",2
"1119","110013->110009",52
"1120","110013->110010",11
"1121","110013->110011",924
"1122","110013->110012",1180
"1123","110013->110014",9
"1124","110013->110015",580
"1125","110013->110018",29
"1126","110013->110020",421
"1127","110013->110025",130
"1128","110013->110026",63
"1129","110013->110028",69
"1130","110013->110030",83
"1131","110013->110032",14
"1132","110013->110033",9
"1133","110013->110034",47
"1134","110013->110037",5
"1135","110013->110040",37
"1136","110013->110045",73
"1137","110013->110050",9
"1138","110013->110060",35
"1139","110013->110070",12
"1140","110013->110080",15
"1141","110013->110090",2
"1142","110013->110092",2
"1143","110013->110094",272
"1144","110013->110100",51
"1145","110013->110110",19
"1146","110013->110120",5
"1147","110013->110130",140
"1148","110013->110140",51
"1149","110013->110143",37
"1150","110013->110145",1
"1151","110013->110147",1
"1152","110013->110149",25
"1153","110013->110150",8
"1154","110013->110155",25
"1155","110013->110160",185
"1156","110013->110170",94
"1157","110013->110175",716
"1158","110013->110180",179
"1159","110013->120010",4
"1160","110013->120017",1
"1161","110013->120040",2
"1162","110013->120050",1
"1163","110013->130014",4
"1164","110013->130090",2
"1165","110013->130170",4
"1166","110013->130270",10
"1167","110013->130330",1
"1168","110013->140010",1
"1169","110013->150013",1
"1170","110013->150060",1
"1171","110013->150140",1
"1172","110013->150503",1
"1173","110013->150680",3
"1174","110013->210530",1
"1175","110013->270430",1
"1176","110013->291800",3
"1177","110013->292530",1
"1178","110013->310110",1
"1179","110013->310470",1
"1180","110013->310620",34
"1181","110013->311680",1
"1182","110013->312770",1
"1183","110013->313170",1
"1184","110013->313380",2
"1185","110013->313670",1
"1186","110013->313940",1
"1187","110013->314390",1
"1188","110013->314400",12
"1189","110013->314590",1
"1190","110013->314620",3
"1191","110013->316860",1
"1192","110013->317020",3
"1193","110013->320060",1
"1194","110013->320080",9
"1195","110013->320090",7
"1196","110013->320100",2
"1197","110013->320130",7
"1198","110013->320150",1
"1199","110013->320190",1
"1200","110013->320210",3
"1201","110013->320260",1
"1202","110013->320270",8
"1203","110013->320320",5
"1204","110013->320330",2
"1205","110013->320390",5
"1206","110013->320405",1
"1207","110013->320465",4
"1208","110013->320490",13
"1209","110013->320500",8
"1210","110013->320515",1
"1211","110013->320517",2
"1212","110013->320520",6
"1213","110013->320530",1
"1214","110013->330010",1
"1215","110013->350280",4
"1216","110013->350600",2
"1217","110013->350950",6
"1218","110013->351110",1
"1219","110013->352440",1
"1220","110013->353060",1
"1221","110013->353730",2
"1222","110013->353760",1
"1223","110013->354340",2
"1224","110013->354850",1
"1225","110013->354980",1
"1226","110013->355030",7
"1227","110013->355220",3
"1228","110013->410040",1
"1229","110013->410100",1
"1230","110013->410170",1
"1231","110013->410180",1
"1232","110013->410370",1
"1233","110013->410430",1
"1234","110013->410480",11
"1235","110013->410560",1
"1236","110013->410690",11
"1237","110013->410830",6
"1238","110013->410880",4
"1239","110013->411010",1
"1240","110013->411250",2
"1241","110013->411460",2
"1242","110013->411560",1
"1243","110013->411580",1
"1244","110013->411720",1
"1245","110013->411840",2
"1246","110013->411850",2
"1247","110013->412070",1
